S.No.,Company,Type,Rating,Reviewers,Age,Highly_Ratedfor,Critically_Ratedfor
176,VE Commercial Vehicles,Automobile,4.1,2800,16,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
177,Indian Oil Corporation,Oil & Gas,4.5,2800,65,"Company Culture, Work Life Balance, Skill Development / Learning",None
178,Whitehat jr,EdTech,3.5,2800,6,"Job Security, Promotions / Appraisal, Work Satisfaction",None
179,Ford Motor,Automobile,4.5,2800,121,"Company Culture, Work Life Balance, Salary & Benefits",None
180,Tata Capital,NBFC,4.2,2800,17,"Job Security, Company Culture, Skill Development / Learning",None
181,Automatic Data Processing (ADP),Software Product,4.1,2800,75,"Job Security, Company Culture, Work Life Balance",None
182,Bharat Electronics,Electronics Manufacturing,4.2,2700,70,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
183,Cummins,Industrial Machinery,4.4,2700,105,"Company Culture, Work Life Balance, Skill Development / Learning",None
184,Access Healthcare,IT Services & Consulting,4,2700,13,"Job Security, Company Culture",None
185,ITC Infotech,IT Services & Consulting,3.7,2700,24,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
186,R1 RCM,Healthcare,4,2700,17,"Job Security, Company Culture, Work Life Balance",None
187,American Express,Financial Services,4.3,2700,174,"Company Culture, Work Life Balance, Salary & Benefits",None
188,Alembic Pharmaceuticals,Pharma,4,2700,117,"Salary & Benefits, Work Life Balance",None
189,Pidilite Industries,Chemicals,4.4,2700,65,"Job Security, Company Culture, Work Life Balance",None
190,Tata AIA Life Insurance,Insurance,4.1,2700,23,"Job Security, Salary & Benefits, Skill Development / Learning",None
191,UnitedHealth,Healthcare,4.1,2700,47,"Job Security, Work Life Balance, Company Culture",None
192,Hindalco Industries,Metals & Mining,4.3,2700,66,"Job Security, Skill Development / Learning, Company Culture",None
193,Alkem Laboratories,Pharma,4,2600,51,None,None
194,Aakash Educational Services,EdTech,3.6,2600,36,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",None
195,Publicis Sapient,IT Services & Consulting,3.6,2600,34,"Promotions / Appraisal, Job Security, Work Satisfaction",None
196,Atos,IT Services & Consulting,3.8,2600,27,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
197,DCB Bank,Banking,3.9,2600,94,"Job Security, Work Life Balance, Company Culture",None
198,Utkarsh Small Finance Bank,Banking,4,2600,15,Job Security,None
199,Hindustan Coca Cola Beverages,Beverage,4.3,2600,27,"Skill Development / Learning, Job Security, Salary & Benefits",None
200,Indian Air Force,Defence & Aerospace,4.7,2600,92,"Job Security, Skill Development / Learning, Salary & Benefits",None
201,Vishal Mega Mart,Retail,3.9,2600,16,Salary & Benefits,"Company Culture, Work Satisfaction, Job Security"
202,Barclays,Banking,4,2600,334,"Job Security, Company Culture, Work Life Balance",None
203,Berger Paints,Chemicals,3.8,2600,101,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",None
204,Glenmark Pharmaceuticals,Pharma,4,2600,47,"Skill Development / Learning, Job Security, Salary & Benefits",None
205,Marpu Foundation,Non-Profit,4.9,2500,8,"Company Culture, Work Satisfaction, Skill Development / Learning",None
206,Ipca Laboratories,Pharma,4,2500,75,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
207,Jindal Steel and Power,Iron & Steel,4,2500,45,"Skill Development / Learning, Job Security",Promotions / Appraisal
208,Bank of America,Banking,4.4,2500,26,"Job Security, Work Life Balance, Company Culture",None
